"Timestamp","n_mints","trick_or_treat","archie_girls","the_dress","imitation","friday_or_saturday"
2015-10-23 11:13:00,6,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
2015-10-23 11:13:14,6,FALSE,"???","White and gold","Laziness",NA
2015-10-23 11:13:17,2,FALSE,"???",NA,"Lazily flattering someone",NA
2015-10-23 11:15:32,7,FALSE,"Betty","Blue and black","Flattery",NA
2015-10-23 11:16:06,137,FALSE,"Veronica","Blue and black","Laziness",NA
2015-10-23 11:18:22,6,FALSE,"Betty","Blue and black","Flattery",NA
2015-10-23 11:18:26,1,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
2015-10-23 11:18:55,4,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
2015-10-23 11:19:45,4,FALSE,"Veronica","White and gold","Lazily flattering someone",NA
2015-10-23 11:19:45,14,FALSE,"Veronica",NA,"Flattery",NA
2015-10-23 11:19:46,6,FALSE,"Betty","White and gold",NA,NA
2015-10-23 11:20:40,5,FALSE,"Betty","White and gold","Flattery",NA
2015-10-23 11:21:21,3,FALSE,"Veronica","White and gold","Flattery",NA
2015-10-23 11:22:18,5,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
2015-10-23 11:23:11,17,FALSE,"???","Blue and black","Lazily flattering someone",NA
2015-10-23 11:25:53,5,FALSE,"Veronica","White and gold","Lazily flattering someone",NA
2015-10-23 11:26:03,24,FALSE,"Veronica","Blue and black","Flattery",NA
2015-10-23 11:26:07,7,FALSE,"Veronica","Blue and black","Flattery",NA
2015-10-23 11:26:11,15,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 11:26:11,8,FALSE,"Veronica","White and gold","Lazily flattering someone",NA
2015-10-23 11:27:37,4,FALSE,"???","White and gold","Flattery",NA
2015-10-23 11:29:00,4,FALSE,"???","Blue and black","Lazily flattering someone",NA
2015-10-23 11:29:37,3,FALSE,"Veronica","White and gold","Lazily flattering someone",NA
2015-10-23 11:29:50,78,FALSE,"???","White and gold","Laziness",NA
2015-10-23 11:30:52,7,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
2015-10-23 11:30:59,3,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 11:31:01,6,FALSE,"???","Blue and black","Lazily flattering someone",NA
2015-10-23 11:31:13,37,FALSE,"???","White and gold","Lazily flattering someone",NA
2015-10-23 11:32:32,5,FALSE,"Betty","White and gold","Flattery",NA
2015-10-23 11:32:59,5,FALSE,"Betty","Blue and black","Flattery",NA
2015-10-23 11:33:22,7,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 11:34:07,5,FALSE,"Veronica","White and gold","Lazily flattering someone",NA
2015-10-23 11:34:16,7,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 11:34:17,5,FALSE,"Veronica","White and gold","Flattery",NA
2015-10-23 11:35:27,3,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 11:36:03,2,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
2015-10-23 11:36:11,3,FALSE,"Betty","Blue and black","Flattery",NA
2015-10-23 11:36:16,6,FALSE,"Betty","Blue and black","Flattery",NA
2015-10-23 11:36:29,12,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 11:37:16,5,FALSE,"Veronica","Blue and black","Flattery",NA
2015-10-23 11:37:24,42,FALSE,"???","White and gold","Flattery",NA
2015-10-23 11:39:04,38,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 11:39:18,8,FALSE,"Veronica","White and gold","Laziness",NA
2015-10-23 11:40:10,5,FALSE,"Veronica","Blue and black","Flattery",NA
2015-10-23 11:42:14,6,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
2015-10-23 11:42:33,4,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 11:43:10,6,FALSE,"Veronica","Blue and black","Flattery",NA
2015-10-23 11:43:18,8,FALSE,"Veronica","White and gold","Lazily flattering someone",NA
2015-10-23 11:43:50,7,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
2015-10-23 11:44:06,5,FALSE,"???","White and gold","Lazily flattering someone",NA
2015-10-23 11:44:59,14,FALSE,"Veronica","Blue and black","Laziness",NA
2015-10-23 11:47:10,5,FALSE,"Betty","Blue and black",NA,NA
2015-10-23 11:47:14,14,FALSE,"Veronica","Blue and black","Laziness",NA
2015-10-23 11:47:19,4,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 11:47:24,3,FALSE,"Betty","Blue and black","Laziness",NA
2015-10-23 11:47:26,5,FALSE,"Veronica","Blue and black","Laziness",NA
2015-10-23 11:48:23,4,FALSE,"Betty",NA,NA,NA
2015-10-23 11:48:24,2,FALSE,"Veronica","White and gold","Lazily flattering someone",NA
2015-10-23 11:48:39,2,FALSE,"???",NA,"Laziness",NA
2015-10-23 11:48:43,5,FALSE,"Veronica",NA,"Lazily flattering someone",NA
2015-10-23 11:48:49,3,FALSE,"Veronica","Blue and black","Laziness",NA
2015-10-23 11:50:31,3,FALSE,"???","White and gold","Lazily flattering someone",NA
2015-10-23 11:51:25,3,FALSE,"Veronica","Blue and black","Flattery",NA
2015-10-23 11:51:35,17,FALSE,"Veronica","White and gold","Laziness",NA
2015-10-23 11:53:06,17,FALSE,"Veronica","Blue and black","Laziness",NA
2015-10-23 11:56:21,12,FALSE,"???","White and gold","Flattery",NA
2015-10-23 11:56:48,23,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
2015-10-23 11:56:49,14,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
2015-10-23 11:56:55,5,FALSE,"Veronica","White and gold","Lazily flattering someone",NA
2015-10-23 11:59:49,4,FALSE,"Veronica","Blue and black","Flattery",NA
2015-10-23 12:00:22,42,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 12:00:22,24,FALSE,"Veronica","White and gold","Flattery",NA
2015-10-23 12:01:13,42,FALSE,"Veronica","Blue and black","Laziness",NA
2015-10-23 12:01:49,8,FALSE,"???","Blue and black","Laziness",NA
2015-10-23 12:02:18,5,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
2015-10-23 12:03:10,2,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 12:03:45,17,FALSE,"Betty","White and gold","Laziness",NA
2015-10-23 12:03:48,22,FALSE,"???","White and gold","Flattery",NA
2015-10-23 12:04:27,7,FALSE,"???","Blue and black","Laziness",NA
2015-10-23 12:04:28,16,FALSE,"Veronica","Blue and black","Flattery",NA
2015-10-23 12:04:29,14,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 12:05:01,7,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 12:05:14,3,FALSE,"Veronica","White and gold","Laziness",NA
2015-10-23 12:05:26,6,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 12:05:43,5,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
2015-10-23 12:05:48,5,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
2015-10-23 12:06:08,7,FALSE,"Veronica","White and gold","Flattery",NA
2015-10-23 12:07:04,7,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 12:08:16,2,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 12:08:33,16,FALSE,NA,NA,NA,NA
2015-10-23 12:09:32,6,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 12:10:41,7,FALSE,"Veronica","White and gold","Lazily flattering someone",NA
2015-10-23 12:11:10,6,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 12:12:33,5,FALSE,"Betty","White and gold","Lazily flattering someone",NA
